, Unfiltered Data, Various Window Sizes
0 ,-0.137667 ,-0.027533 ,-0.013767 ,-0.009178 ,-0.006883 ,
1 ,0.014000 ,-0.024733 ,-0.012367 ,-0.008244 ,-0.006183 ,
2 ,0.110250 ,-0.002683 ,-0.001342 ,-0.000894 ,-0.000671 ,
3 ,0.104417 ,0.018200 ,0.009100 ,0.006067 ,0.004550 ,
4 ,0.355250 ,0.089250 ,0.044625 ,0.029750 ,0.022313 ,
5 ,0.145250 ,0.145833 ,0.059150 ,0.039433 ,0.029575 ,
6 ,0.051917 ,0.153417 ,0.064342 ,0.042894 ,0.032171 ,
7 ,0.232750 ,0.177917 ,0.087617 ,0.058411 ,0.043808 ,
8 ,34347839453164208128.000000 ,6869567780681678848.000000 ,3434783890340839424.000000 ,2289855972706877440.000000 ,1717391945170419712.000000 ,
9 ,22898558902435053568.000000 ,11449279451217526784.000000 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
10 ,0.232750 ,11449279451217526784.000000 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
11 ,0.320250 ,11449279451217526784.000000 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
12 ,0.334833 ,11449279451217526784.000000 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
13 ,0.066500 ,4579711670535847936.000000 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
14 ,0.618479 ,0.314562 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
15 ,0.020562 ,0.272125 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
16 ,0.020562 ,0.212187 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
17 ,0.005979 ,0.146417 ,5724639725608763392.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
18 ,0.029312 ,0.138979 ,2289855835267923968.000000 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
19 ,0.042437 ,0.023771 ,0.169167 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
20 ,0.020562 ,0.023771 ,0.147948 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
21 ,-0.084438 ,0.002771 ,0.107479 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
22 ,-0.101938 ,-0.018813 ,0.063802 ,3816426575365144576.000000 ,2862319862804381696.000000 ,
23 ,-0.107771 ,-0.046229 ,0.046375 ,1526570602658267136.000000 ,2862319862804381696.000000 ,
24 ,0.081812 ,-0.038354 ,-0.007292 ,0.099993 ,2862319862804381696.000000 ,
25 ,0.003062 ,-0.041854 ,-0.009042 ,0.084681 ,2862319862804381696.000000 ,
26 ,-0.769854 ,-0.178938 ,-0.088083 ,0.012007 ,2862319862804381696.000000 ,
27 ,0.011812 ,-0.156188 ,-0.087500 ,-0.009528 ,2862319862804381696.000000 ,
28 ,0.011812 ,-0.132271 ,-0.089250 ,-0.013174 ,1144927917633961984.000000 ,
29 ,0.070146 ,-0.134604 ,-0.086479 ,-0.049729 ,0.041344 ,
30 ,0.029312 ,-0.129354 ,-0.085604 ,-0.049146 ,0.031172 ,
31 ,-0.031938 ,0.018229 ,-0.080354 ,-0.052646 ,0.013562 ,
32 ,-0.046521 ,0.006562 ,-0.074813 ,-0.056146 ,-0.005505 ,
33 ,0.020562 ,0.008312 ,-0.061979 ,-0.056729 ,-0.007802 ,
34 ,-0.031938 ,-0.012104 ,-0.073354 ,-0.061688 ,-0.040323 ,
35 ,-0.099021 ,-0.037771 ,-0.083563 ,-0.069660 ,-0.046302 ,
36 ,0.090562 ,-0.013271 ,0.002479 ,-0.057993 ,-0.042802 ,
37 ,0.051187 ,0.006271 ,0.006417 ,-0.047785 ,-0.040542 ,
38 ,-0.017354 ,-0.001313 ,0.003500 ,-0.041757 ,-0.042875 ,
39 ,-0.171937 ,-0.029313 ,-0.020708 ,-0.058674 ,-0.053594 ,
40 ,0.289625 ,0.048417 ,0.005323 ,-0.039569 ,-0.040141 ,
41 ,0.294000 ,0.089104 ,0.037917 ,0.031354 ,-0.021219 ,
42 ,0.136500 ,0.106167 ,0.056219 ,0.039667 ,-0.009297 ,
43 ,0.154000 ,0.140437 ,0.069562 ,0.049146 ,0.003792 ,
44 ,0.072333 ,0.189292 ,0.079990 ,0.049292 ,0.003318 ,
45 ,0.040250 ,0.139417 ,0.093917 ,0.050021 ,0.005177 ,
46 ,0.079625 ,0.096542 ,0.092823 ,0.057458 ,0.047651 ,
47 ,0.101500 ,0.089542 ,0.097854 ,0.067326 ,0.052135 ,
48 ,-0.441000 ,-0.029458 ,0.055490 ,0.036556 ,0.029495 ,
49 ,-0.388500 ,-0.121625 ,0.033833 ,0.012785 ,0.006562 ,
50 ,-0.110688 ,-0.151813 ,-0.006198 ,0.012007 ,-0.000438 ,
51 ,-0.093188 ,-0.186375 ,-0.044917 ,-0.000243 ,-0.003500 ,
52 ,0.169313 ,-0.172813 ,-0.041635 ,0.007632 ,0.007292 ,
53 ,0.033687 ,-0.077875 ,-0.053667 ,0.011035 ,0.007948 ,
54 ,0.014729 ,0.002771 ,-0.059427 ,0.023479 ,0.010281 ,
55 ,-0.136937 ,-0.002479 ,-0.077146 ,-0.004958 ,0.008385 ,
56 ,-0.150063 ,-0.013854 ,-0.100115 ,-0.034563 ,-0.003646 ,
57 ,-0.099021 ,-0.067521 ,-0.120167 ,-0.050264 ,-0.011156 ,
